CLUESmallArea,Usage,SumFloors2002,FloorCount2002,SumFloors2021,FloorCount2021
Parkville,House/Townhouse,737.0,466,1156.0,659
Parkville,Residential Apartment,185.0,62,275.0,75
Parkville,Entertainment/Recreation - Indoor,7.0,5,23.0,15
Parkville,Educational/Research,40.0,10,274.0,55
Parkville,Office,27.0,9,49.0,12
Parkville,Public Display Area,0.0,0,5.0,2
Parkville,Institutional Accommodation,7.0,4,22.0,10
Parkville,Hospital/Clinic,44.0,9,53.0,6
Parkville,Unoccupied - Unused,1.0,1,28.0,8
Parkville,Equipment Installation,4.0,4,13.0,10
Parkville,Unoccupied - Under Construction,0.0,0,6.0,3
Parkville,Transport,1.0,1,1.0,1
Parkville,Student Accommodation,48.0,13,51.0,12
Parkville,Unoccupied - Under Renovation,0.0,0,3.0,2
Parkville,Commercial Accommodation,18.0,7,9.0,3
Parkville,Community Use,0.0,0,2.0,2
Parkville,"Performances, Conferences, Ceremonies",2.0,2,2.0,2
Parkville,Retail - Stall,0.0,0,1.0,1
Parkville,Storage,2.0,1,2.0,1
Parkville,Retail - Shop,9.0,5,2.0,1
Parkville,Unoccupied - Under Demolition/Condemned,0.0,0,0.0,0
Parkville,Parking - Private Covered,4.0,2,0.0,0
Parkville,Parking - Commercial Covered,0,0,0,0
East Melbourne,House/Townhouse,818.0,512,1041.0,566
East Melbourne,Residential Apartment,375.0,119,530.0,133
East Melbourne,Unoccupied - Under Renovation,15.0,7,1.0,1
East Melbourne,Office,324.0,80,274.0,62
East Melbourne,"Performances, Conferences, Ceremonies",10.0,9,8.0,6
East Melbourne,Equipment Installation,3.0,3,5.0,5
East Melbourne,Public Display Area,4.0,3,17.0,6
East Melbourne,Retail - Shop,7.0,5,9.0,5
East Melbourne,Educational/Research,14.0,8,14.0,5
East Melbourne,Hospital/Clinic,87.0,29,109.0,29
East Melbourne,Commercial Accommodation,83.0,22,74.0,16
East Melbourne,Unoccupied - Unused,42.0,17,55.0,23
East Melbourne,Storage,13.0,6,11.0,6
East Melbourne,Parking - Commercial Covered,20.0,4,20.0,4
East Melbourne,Entertainment/Recreation - Indoor,16.0,7,20.0,8
East Melbourne,Parking - Private Covered,24.0,6,35.0,5
East Melbourne,Institutional Accommodation,2.0,1,6.0,2
East Melbourne,Community Use,1.0,1,5.0,1
East Melbourne,Transport,0.0,0,2.0,2
East Melbourne,Unoccupied - Under Construction,0.0,0,0.0,0
East Melbourne,Unoccupied - Under Demolition/Condemned,0.0,0,7.0,1
East Melbourne,Student Accommodation,0.0,0,3.0,1
East Melbourne,Workshop/Studio,0.0,0,0.0,0
Melbourne (CBD),Commercial Accommodation,694.0,73,1181.0,92
Melbourne (CBD),Entertainment/Recreation - Indoor,534.0,210,675.0,263
Melbourne (CBD),Hospital/Clinic,84.0,9,54.0,6
Melbourne (CBD),Equipment Installation,87.0,27,73.0,22
Melbourne (CBD),Office,3747.0,381,3882.0,324
Melbourne (CBD),Residential Apartment,1089.0,152,3924.0,221
Melbourne (CBD),Retail - Shop,404.0,157,302.0,102
Melbourne (CBD),Storage,213.0,83,82.0,33
Melbourne (CBD),Student Accommodation,69.0,9,214.0,12
Melbourne (CBD),Unoccupied - Unused,689.0,149,927.0,213
Melbourne (CBD),Educational/Research,218.0,36,513.0,74
Melbourne (CBD),"Performances, Conferences, Ceremonies",126.0,33,104.0,29
Melbourne (CBD),House/Townhouse,78.0,31,107.0,42
Melbourne (CBD),Public Display Area,14.0,4,18.0,6
Melbourne (CBD),Parking - Private Covered,38.0,8,65.0,4
Melbourne (CBD),Parking - Commercial Covered,247.0,32,242.0,28
Melbourne (CBD),Unoccupied - Under Construction,100.0,19,164.0,32
Melbourne (CBD),Unoccupied - Under Renovation,283.0,40,100.0,15
Melbourne (CBD),Unoccupied - Under Demolition/Condemned,9.0,5,5.0,3
Melbourne (CBD),Transport,13.0,6,4.0,3
Melbourne (CBD),Workshop/Studio,67.0,13,22.0,3
Melbourne (CBD),Retail - Showroom,2.0,1,6.0,2
Melbourne (CBD),Community Use,2.0,2,9.0,4
Melbourne (CBD),Retail - Stall,13.0,13,15.0,15
Melbourne (CBD),Institutional Accommodation,4.0,1,13.0,3
Melbourne (CBD),Wholesale,27.0,5,2.0,1
Melbourne (CBD),Manufacturing,21.0,9,0.0,0
Melbourne (CBD),Retail - Cars,4.0,2,0.0,0
North Melbourne,House/Townhouse,1914.0,1412,3014.0,1827
North Melbourne,Unoccupied - Unused,209.0,130,243.0,148
North Melbourne,Retail - Cars,11.0,8,7.0,3
North Melbourne,Entertainment/Recreation - Indoor,68.0,38,106.0,57
North Melbourne,Residential Apartment,400.0,143,893.0,227
North Melbourne,Workshop/Studio,85.0,68,65.0,51
North Melbourne,Commercial Accommodation,30.0,11,37.0,15
North Melbourne,Office,274.0,148,246.0,119
North Melbourne,Student Accommodation,0.0,0,86.0,12
North Melbourne,Retail - Showroom,8.0,5,9.0,5
North Melbourne,Retail - Shop,138.0,90,97.0,57
North Melbourne,Institutional Accommodation,5.0,3,19.0,4
North Melbourne,Manufacturing,38.0,26,18.0,11
North Melbourne,Unoccupied - Under Demolition/Condemned,1.0,1,2.0,2
North Melbourne,Storage,77.0,48,69.0,45
North Melbourne,Parking - Private Covered,8.0,5,28.0,8
North Melbourne,Educational/Research,23.0,13,42.0,19
North Melbourne,Community Use,1.0,1,9.0,5
North Melbourne,Equipment Installation,17.0,16,21.0,18
North Melbourne,"Performances, Conferences, Ceremonies",13.0,8,22.0,14
North Melbourne,Unoccupied - Under Renovation,15.0,7,21.0,7
North Melbourne,Wholesale,56.0,44,22.0,17
North Melbourne,Unoccupied - Under Construction,26.0,15,16.0,12
North Melbourne,Hospital/Clinic,13.0,7,23.0,12
North Melbourne,Parking - Commercial Covered,9.0,1,9.0,1
North Melbourne,Transport,0.0,0,1.0,1
North Melbourne,Public Display Area,0.0,0,0.0,0
South Yarra,Residential Apartment,695.0,253,742.0,245
South Yarra,House/Townhouse,702.0,483,827.0,509
South Yarra,Entertainment/Recreation - Indoor,7.0,4,8.0,4
South Yarra,Educational/Research,17.0,9,20.0,10
South Yarra,Unoccupied - Unused,0.0,0,0.0,0
South Yarra,Unoccupied - Under Demolition/Condemned,0.0,0,0.0,0
South Yarra,Community Use,1.0,1,2.0,2
South Yarra,"Performances, Conferences, Ceremonies",5.0,3,5.0,3
South Yarra,Storage,1.0,1,1.0,1
South Yarra,Unoccupied - Under Renovation,4.0,2,4.0,2
South Yarra,Equipment Installation,9.0,4,9.0,4
South Yarra,Unoccupied - Under Construction,3.0,2,2.0,2
South Yarra,Commercial Accommodation,21.0,8,2.0,1
South Yarra,Office,11.0,7,3.0,2
South Yarra,Student Accommodation,3.0,1,3.0,1
South Yarra,Hospital/Clinic,3.0,2,0.0,0
South Yarra,Retail - Shop,2.0,1,4.0,2
South Yarra,Workshop/Studio,1.0,1,0.0,0
South Yarra,Parking - Private Covered,2.0,1,0.0,0
South Yarra,Parking - Commercial Covered,0,0,0,0
Kensington,House/Townhouse,2342.0,1535,4726.0,2969
Kensington,Residential Apartment,125.0,54,335.0,97
Kensington,Storage,24.0,15,73.0,47
Kensington,Workshop/Studio,10.0,7,26.0,21
Kensington,Unoccupied - Unused,12.0,7,64.0,45
Kensington,Office,9.0,5,52.0,32
Kensington,Unoccupied - Under Construction,42.0,23,11.0,4
Kensington,Educational/Research,3.0,2,10.0,6
Kensington,Community Use,0.0,0,12.0,9
Kensington,Wholesale,14.0,9,11.0,7
Kensington,Equipment Installation,4.0,4,14.0,12
Kensington,Manufacturing,30.0,17,24.0,11
Kensington,Retail - Shop,13.0,11,42.0,28
Kensington,Entertainment/Recreation - Indoor,4.0,4,34.0,17
Kensington,Transport,0.0,0,2.0,2
Kensington,Hospital/Clinic,6.0,5,12.0,8
Kensington,Parking - Private Covered,0.0,0,2.0,1
Kensington,Institutional Accommodation,0.0,0,3.0,2
Kensington,"Performances, Conferences, Ceremonies",2.0,2,6.0,5
Kensington,Public Display Area,2.0,1,2.0,1
Kensington,Unoccupied - Under Renovation,5.0,4,4.0,1
Kensington,Commercial Accommodation,4.0,1,1.0,1
Kensington,Unoccupied - Under Demolition/Condemned,1.0,1,0.0,0
Kensington,Retail - Cars,0.0,0,0.0,0
Kensington,Retail - Showroom,0.0,0,0.0,0
Kensington,Parking - Commercial Covered,0,0,0,0
Carlton,Educational/Research,87.0,24,176.0,38
Carlton,Office,383.0,167,337.0,126
Carlton,House/Townhouse,1951.0,1272,2247.0,1359
Carlton,Unoccupied - Unused,136.0,69,192.0,94
Carlton,Student Accommodation,71.0,15,399.0,57
Carlton,Equipment Installation,10.0,9,13.0,12
Carlton,Entertainment/Recreation - Indoor,193.0,100,212.0,109
Carlton,Residential Apartment,577.0,159,948.0,177
Carlton,Retail - Shop,217.0,122,172.0,94
Carlton,Storage,25.0,12,23.0,12
Carlton,Commercial Accommodation,46.0,12,59.0,17
Carlton,"Performances, Conferences, Ceremonies",10.0,7,14.0,9
Carlton,Parking - Private Covered,22.0,9,25.0,10
Carlton,Hospital/Clinic,57.0,22,43.0,20
Carlton,Institutional Accommodation,5.0,3,18.0,2
Carlton,Parking - Commercial Covered,25.0,7,30.0,6
Carlton,Unoccupied - Under Construction,60.0,20,57.0,6
Carlton,Public Display Area,4.0,1,6.0,2
Carlton,Workshop/Studio,42.0,29,19.0,11
Carlton,Unoccupied - Under Renovation,42.0,13,11.0,6
Carlton,Unoccupied - Under Demolition/Condemned,6.0,5,5.0,3
Carlton,Retail - Showroom,3.0,2,2.0,1
Carlton,Community Use,1.0,1,9.0,6
Carlton,Wholesale,6.0,3,0.0,0
Carlton,Manufacturing,1.0,1,0.0,0
Carlton,Retail - Cars,8.0,6,0.0,0
Southbank,"Performances, Conferences, Ceremonies",14.0,3,28.0,8
Southbank,Residential Apartment,366.0,27,1969.0,67
Southbank,Office,293.0,62,288.0,36
Southbank,Equipment Installation,11.0,8,9.0,8
Southbank,Entertainment/Recreation - Indoor,9.0,6,10.0,7
Southbank,Unoccupied - Under Construction,28.0,9,19.0,4
Southbank,Commercial Accommodation,52.0,3,446.0,17
Southbank,Parking - Commercial Covered,78.0,8,37.0,6
Southbank,Community Use,0.0,0,5.0,2
Southbank,Parking - Private Covered,32.0,5,58.0,5
Southbank,Unoccupied - Unused,54.0,24,109.0,40
Southbank,Educational/Research,23.0,9,30.0,6
Southbank,Retail - Shop,29.0,18,10.0,6
Southbank,Retail - Cars,9.0,3,5.0,2
Southbank,Workshop/Studio,12.0,7,8.0,3
Southbank,Retail - Showroom,8.0,5,1.0,1
Southbank,Storage,7.0,6,2.0,1
Southbank,Institutional Accommodation,1.0,1,2.0,1
Southbank,Wholesale,3.0,2,0.0,0
Southbank,Unoccupied - Under Renovation,12.0,3,0.0,0
Southbank,Public Display Area,7.0,2,12.0,3
Southbank,House/Townhouse,2.0,1,0.0,0
Southbank,Unoccupied - Under Demolition/Condemned,0.0,0,0.0,0
Southbank,Hospital/Clinic,4.0,1,0.0,0
Docklands,House/Townhouse,0.0,0,430.0,143
Docklands,Office,36.0,7,478.0,33
Docklands,Educational/Research,0.0,0,7.0,2
Docklands,Residential Apartment,59.0,3,1179.0,51
Docklands,Unoccupied - Under Construction,60.0,16,14.0,5
Docklands,Entertainment/Recreation - Indoor,0.0,0,8.0,6
Docklands,Commercial Accommodation,19.0,2,36.0,3
Docklands,"Performances, Conferences, Ceremonies",7.0,2,5.0,2
Docklands,Unoccupied - Unused,2.0,2,80.0,25
Docklands,Parking - Private Covered,4.0,1,24.0,5
Docklands,Community Use,0.0,0,7.0,3
Docklands,Parking - Commercial Covered,19.0,5,61.0,7
Docklands,Retail - Shop,1.0,1,6.0,2
Docklands,Equipment Installation,1.0,1,8.0,6
Docklands,Retail - Showroom,2.0,1,2.0,1
Docklands,Storage,5.0,5,6.0,5
Docklands,Workshop/Studio,8.0,2,6.0,3
Docklands,Unoccupied - Under Demolition/Condemned,0.0,0,2.0,2
Docklands,Public Display Area,2.0,1,2.0,1
Docklands,Unoccupied - Under Renovation,0.0,0,0.0,0
Docklands,Transport,3.0,2,0.0,0
Docklands,Wholesale,0.0,0,0.0,0
Docklands,Manufacturing,2.0,2,0.0,0
Port Melbourne,Manufacturing,35.0,22,19.0,13
Port Melbourne,Storage,47.0,28,129.0,62
Port Melbourne,Office,36.0,16,51.0,22
Port Melbourne,Equipment Installation,7.0,6,13.0,8
Port Melbourne,Transport,0.0,0,1.0,1
Port Melbourne,Educational/Research,9.0,4,14.0,7
Port Melbourne,Retail - Shop,2.0,2,4.0,3
Port Melbourne,Unoccupied - Unused,15.0,8,49.0,26
Port Melbourne,Entertainment/Recreation - Indoor,1.0,1,5.0,4
Port Melbourne,Workshop/Studio,7.0,5,20.0,11
Port Melbourne,Retail - Cars,1.0,1,1.0,1
Port Melbourne,Unoccupied - Under Construction,7.0,7,0.0,0
Port Melbourne,Wholesale,5.0,3,7.0,3
Port Melbourne,Retail - Showroom,0.0,0,2.0,1
Port Melbourne,Unoccupied - Under Renovation,0.0,0,0.0,0
Port Melbourne,Parking - Private Covered,0.0,0,15.0,3
Port Melbourne,Unoccupied - Under Demolition/Condemned,1.0,1,0.0,0
Port Melbourne,House/Townhouse,0,0,0,0
Port Melbourne,Parking - Commercial Covered,0,0,0,0
West Melbourne (Residential),House/Townhouse,622.0,466,879.0,537
West Melbourne (Residential),Unoccupied - Unused,82.0,44,135.0,75
West Melbourne (Residential),Entertainment/Recreation - Indoor,47.0,27,46.0,26
West Melbourne (Residential),Office,280.0,128,184.0,80
West Melbourne (Residential),Storage,37.0,23,34.0,17
West Melbourne (Residential),Retail - Shop,67.0,46,41.0,25
West Melbourne (Residential),Residential Apartment,143.0,42,534.0,90
West Melbourne (Residential),Institutional Accommodation,2.0,1,8.0,4
West Melbourne (Residential),Equipment Installation,12.0,6,21.0,9
West Melbourne (Residential),Workshop/Studio,49.0,36,17.0,13
West Melbourne (Residential),Educational/Research,5.0,3,23.0,7
West Melbourne (Residential),Public Display Area,0.0,0,4.0,2
West Melbourne (Residential),Retail - Showroom,8.0,4,15.0,9
West Melbourne (Residential),Community Use,10.0,4,9.0,3
West Melbourne (Residential),"Performances, Conferences, Ceremonies",7.0,4,6.0,3
West Melbourne (Residential),Unoccupied - Under Demolition/Condemned,4.0,3,2.0,1
West Melbourne (Residential),Retail - Cars,3.0,2,3.0,3
West Melbourne (Residential),Wholesale,29.0,24,10.0,7
West Melbourne (Residential),Hospital/Clinic,6.0,3,5.0,3
West Melbourne (Residential),Unoccupied - Under Construction,4.0,3,9.0,3
West Melbourne (Residential),Manufacturing,7.0,6,3.0,2
West Melbourne (Residential),Parking - Private Covered,3.0,2,4.0,1
West Melbourne (Residential),Commercial Accommodation,9.0,3,12.0,4
West Melbourne (Residential),Unoccupied - Under Renovation,23.0,10,0.0,0
West Melbourne (Residential),Transport,0.0,0,0.0,0
West Melbourne (Residential),Student Accommodation,3.0,1,3.0,1
West Melbourne (Residential),Retail - Stall,0.0,0,0.0,0
West Melbourne (Residential),Parking - Commercial Covered,4.0,2,0.0,0
Melbourne (Remainder),Office,131.0,18,85.0,14
Melbourne (Remainder),Residential Apartment,99.0,8,190.0,15
Melbourne (Remainder),Storage,8.0,4,8.0,4
Melbourne (Remainder),"Performances, Conferences, Ceremonies",2.0,1,6.0,3
Melbourne (Remainder),House/Townhouse,1.0,1,1.0,1
Melbourne (Remainder),Community Use,3.0,3,2.0,2
Melbourne (Remainder),Commercial Accommodation,7.0,2,5.0,1
Melbourne (Remainder),Entertainment/Recreation - Indoor,12.0,6,22.0,10
Melbourne (Remainder),Unoccupied - Under Construction,4.0,1,1.0,1
Melbourne (Remainder),Public Display Area,3.0,3,3.0,3
Melbourne (Remainder),Educational/Research,8.0,3,11.0,3
Melbourne (Remainder),Hospital/Clinic,17.0,3,18.0,3
Melbourne (Remainder),Equipment Installation,1.0,1,4.0,4
Melbourne (Remainder),Parking - Commercial Covered,0.0,0,4.0,1
Melbourne (Remainder),Unoccupied - Under Renovation,9.0,2,1.0,1
Melbourne (Remainder),Retail - Stall,0.0,0,0.0,0
Melbourne (Remainder),Transport,0.0,0,1.0,1
Melbourne (Remainder),Unoccupied - Unused,12.0,1,20.0,3
Melbourne (Remainder),Institutional Accommodation,1.0,1,4.0,1
Melbourne (Remainder),Parking - Private Covered,0.0,0,0.0,0
Melbourne (Remainder),Unoccupied - Under Demolition/Condemned,0.0,0,0.0,0
Melbourne (Remainder),Retail - Shop,3.0,2,0.0,0
West Melbourne (Industrial),Storage,43.0,34,35.0,24
West Melbourne (Industrial),Manufacturing,24.0,14,4.0,3
West Melbourne (Industrial),Office,16.0,11,28.0,13
West Melbourne (Industrial),Unoccupied - Unused,18.0,10,37.0,25
West Melbourne (Industrial),Equipment Installation,5.0,5,8.0,8
West Melbourne (Industrial),Retail - Shop,7.0,5,5.0,5
West Melbourne (Industrial),Entertainment/Recreation - Indoor,2.0,1,3.0,2
West Melbourne (Industrial),Workshop/Studio,8.0,7,12.0,8
West Melbourne (Industrial),Wholesale,8.0,5,10.0,7
West Melbourne (Industrial),Unoccupied - Under Construction,2.0,2,6.0,6
West Melbourne (Industrial),Transport,5.0,4,4.0,4
West Melbourne (Industrial),Unoccupied - Under Renovation,0.0,0,0.0,0
West Melbourne (Industrial),Unoccupied - Under Demolition/Condemned,0.0,0,0.0,0
West Melbourne (Industrial),House/Townhouse,0,0,0,0
West Melbourne (Industrial),Parking - Commercial Covered,0,0,0,0
