CLUESmallArea,ChangeInAverageFloors
Parkville,0.18855733834827149
East Melbourne,0.1434110455654758
Melbourne (CBD),0.3924327678484316
North Melbourne,0.24215861096457014
South Yarra,0.0905478615001758
Kensington,0.057809307172612456
Carlton,0.20774933896775294
Southbank,1.762161656214634
Docklands,0.7837918745545258
Port Melbourne,0.20231213872832354
West Melbourne (Residential),0.3216702923933483
Melbourne (Remainder),0.0161906015532447
West Melbourne (Industrial),0.02801932367149762
